Math Score,English Score,Sum,base_prob,adjusted_prob,tier_idx,Pass,Pass_Label
62,20,82,0.0086,0.019,6,0,Fail
94,63,157,0.9903,0.9918,5,1,Pass
82,54,136,0.8808,0.8856,7,1,Pass
94,36,130,0.7773,0.2782,1,0,Fail
76,92,168,0.9975,0.9713,7,1,Pass
67,8,75,0.0036,0.0411,4,0,Fail
83,55,138,0.9047,0.8774,7,1,Pass
12,28,40,0.0,0.0167,7,0,Fail
32,70,102,0.0953,0.0962,7,0,Fail
22,42,64,0.0009,0.0041,5,0,Fail
10,38,48,0.0001,0.0105,5,0,Fail
78,28,106,0.148,0.108,6,1,Pass
97,49,146,0.9627,0.9487,7,1,Pass
40,29,69,0.0017,0.015,7,0,Fail
23,65,88,0.018,0.0234,7,0,Fail
84,98,182,0.9996,1.0,7,1,Pass
16,78,94,0.0373,0.7053,2,1,Pass
64,0,64,0.0009,0.0495,7,0,Fail
3,43,46,0.0001,0.0163,6,0,Fail
100,85,185,0.9997,1.0,7,1,Pass
25,36,61,0.0006,0.0161,6,0,Fail
17,71,88,0.018,0.0108,7,0,Fail
80,69,149,0.974,0.6704,4,1,Pass
75,53,128,0.7311,0.7576,7,1,Pass
45,35,80,0.0067,0.0,7,0,Fail
64,87,151,0.9797,1.0,6,1,Pass
92,11,103,0.1067,0.0984,7,1,Pass
33,34,67,0.0013,0.8989,1,1,Pass
73,99,172,0.9985,0.8667,5,1,Pass
27,79,106,0.148,0.0542,6,0,Fail
13,44,57,0.0004,0.0,7,0,Fail
90,92,182,0.9996,0.8827,6,1,Pass
41,94,135,0.867,0.8763,7,1,Pass
36,41,77,0.0046,0.7957,2,0,Fail
42,96,138,0.9047,0.9094,7,1,Pass
79,97,176,0.9991,1.0,7,1,Pass
53,30,83,0.0097,0.0,5,0,Fail
42,100,142,0.9399,0.9237,7,1,Pass
92,25,117,0.4073,0.3974,7,1,Pass
31,81,112,0.2689,0.2738,7,1,Pass
52,10,62,0.0007,0.0,7,0,Fail
95,33,128,0.7311,0.7343,7,1,Pass
73,87,160,0.9933,0.2845,2,0,Fail
69,50,119,0.4688,0.377,5,1,Pass
85,3,88,0.018,0.053,7,0,Fail
52,89,141,0.9325,0.9576,5,0,Fail
92,90,182,0.9996,1.0,5,1,Pass
17,61,78,0.0052,0.0205,7,0,Fail
55,39,94,0.0373,0.0289,7,0,Fail
62,23,85,0.0124,0.5313,3,0,Fail
52,76,128,0.7311,0.8303,4,1,Pass
56,2,58,0.0004,0.0009,7,0,Fail
71,63,134,0.852,0.7992,5,1,Pass
40,77,117,0.4073,0.3969,7,1,Pass
45,5,50,0.0002,0.0177,7,0,Fail
24,72,96,0.0474,0.0298,7,0,Fail
79,22,101,0.0851,0.1016,7,0,Fail
50,29,79,0.0059,0.0,7,0,Fail
72,37,109,0.2018,0.2534,6,0,Fail
15,16,31,0.0,0.0128,4,0,Fail
25,22,47,0.0001,0.0046,7,0,Fail
21,92,113,0.2942,0.2826,7,0,Fail
61,58,119,0.4688,0.3878,6,0,Fail
18,99,117,0.4073,0.4176,7,1,Pass
9,43,52,0.0002,0.8998,1,1,Pass
32,64,96,0.0474,0.062,7,0,Fail
98,51,149,0.974,0.9573,7,1,Pass
61,33,94,0.0373,0.0106,7,0,Fail
36,5,41,0.0001,0.0129,7,0,Fail
96,43,139,0.9149,0.8548,6,1,Pass
59,25,84,0.011,0.0,6,0,Fail
98,66,164,0.9959,0.3,2,0,Fail
16,4,20,0.0,0.0,7,0,Fail
15,97,112,0.2689,0.391,3,1,Pass
86,31,117,0.4073,0.4215,7,0,Fail
22,31,53,0.0002,0.8998,1,1,Pass
68,39,107,0.1645,0.1481,6,0,Fail
92,33,125,0.6514,0.6478,7,1,Pass
28,63,91,0.026,0.0522,6,0,Fail
87,57,144,0.9526,0.934,7,1,Pass
38,78,116,0.3775,0.383,7,1,Pass
75,85,160,0.9933,0.6681,4,1,Pass
67,11,78,0.0052,0.4762,3,1,Pass
59,45,104,0.1192,0.8046,1,1,Pass
94,47,141,0.9325,0.9154,7,1,Pass
68,50,118,0.4378,0.454,7,1,Pass
91,19,110,0.2227,0.2011,7,0,Fail
64,24,88,0.018,0.0092,7,0,Fail
60,73,133,0.8355,0.829,7,0,Fail
36,30,66,0.0012,0.073,6,0,Fail
12,63,75,0.0036,0.0201,7,0,Fail
85,89,174,0.9988,0.9697,6,1,Pass
64,72,136,0.8808,0.2545,2,1,Pass
64,9,73,0.0028,0.0163,6,0,Fail
